"No.","Time","Source","Destination","Protocol","Length","Info"
"42","848.768558","10.0.0.4","10.0.1.6","DCERPC","162","Bind_ack: call_id: 2, Fragment: Single, max_xmit: 5840 max_recv: 5840, 3 results: Provider rejection, Acceptance, Negotiate ACK"
"43","848.768615","10.0.1.6","10.0.0.4","EPM","222","Map request, DRSUAPI, 32bit NDR"
"44","848.769431","10.0.0.4","10.0.1.6","EPM","226","Map response, DRSUAPI, 32bit NDR"
"45","848.769920","10.0.1.6","10.0.0.4","TCP","66","56954  >  49667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"46","848.770757","10.0.0.4","10.0.1.6","TCP","66","49667  >  56954 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1418 WS=256 SACK_PERM=1"
"47","848.770787","10.0.1.6","10.0.0.4","TCP","54","56954  >  49667 [ACK] Seq=1 Ack=1 Win=524544 Len=0"
"48","848.771068","10.0.1.6","10.0.0.4","DCERPC","1973","Bind: call_id: 2, Fragment: Single, 3 context items: DRSUAPI V4.0 (32bit NDR), DRSUAPI V4.0 (64bit NDR), DRSUAPI V4.0 (6cb71c2c-9812-4540-0300-000000000000)"
"49","848.771563","10.0.0.4","10.0.1.6","TCP","54","49667  >  56954 [ACK] Seq=1 Ack=1920 Win=4197120 Len=0"
"50","848.772221","10.0.0.4","10.0.1.6","DCERPC","339","Bind_ack: call_id: 2, Fragment: Single, max_xmit: 5840 max_recv: 5840, 3 results: Provider rejection, Acceptance, Negotiate ACK"
"51","848.772330","10.0.1.6","10.0.0.4","DCERPC","274","Alter_context: call_id: 2, Fragment: Single, 1 context items: DRSUAPI V4.0 (64bit NDR)"
"52","848.773640","10.0.0.4","10.0.1.6","DCERPC","159","Alter_context_resp: call_id: 2, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance"
"53","848.773767","10.0.1.6","10.0.0.4","DRSUAPI","322","DsBind request"
"54","848.774385","10.0.0.4","10.0.1.6","DRSUAPI","258","DsBind response"
"55","848.774522","10.0.1.6","10.0.0.4","DRSUAPI","306","DsCrackNames request"
"56","848.775171","10.0.0.4","10.0.1.6","DRSUAPI","418","DsCrackNames response"
"57","848.775244","10.0.1.6","10.0.0.4","DRSUAPI","194","DsUnbind request"
"58","848.775811","10.0.0.4","10.0.1.6","DRSUAPI","194","DsUnbind response"
"59","848.792361","10.0.0.4","10.0.1.6","TCP","226","[TCP Retransmission] 135  >  56953 [PSH, ACK] Seq=109 Ack=329 Win=4196864 Len=172"
"60","848.792374","10.0.1.6","10.0.0.4","TCP","66","56953  >  135 [ACK] Seq=329 Ack=281 Win=524288 Len=0 SLE=109 SRE=281"
"61","848.807913","10.0.0.4","10.0.1.6","TCP","194","[TCP Retransmission] 49667  >  56954 [PSH, ACK] Seq=959 Ack=2800 Win=4196352 Len=140"
"62","848.807929","10.0.1.6","10.0.0.4","TCP","66","56954  >  49667 [ACK] Seq=2800 Ack=1099 Win=523520 Len=0 SLE=959 SRE=1099"
"63","849.016389","10.0.1.6","10.0.0.4","TCP","66","56955  >  389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"64","849.017444","10.0.0.4","10.0.1.6","TCP","66","389  >  56955 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1418 WS=256 SACK_PERM=1"
"65","849.017495","10.0.1.6","10.0.0.4","TCP","54","56955  >  389 [ACK] Seq=1 Ack=1 Win=524544 Len=0"
"66","849.017904","10.0.1.6","10.0.0.4","LDAP","404","searchRequest(1) ""<ROOT>"" baseObject "
"67","849.018912","10.0.0.4","10.0.1.6","TCP","1472","389  >  56955 [ACK] Seq=1 Ack=351 Win=4197120 Len=1418 [TCP segment of a reassembled PDU]"
"68","849.018913","10.0.0.4","10.0.1.6","LDAP","1370","searchResEntry(1) ""<ROOT>""  | searchResDone(1) success  [7 results]"
"69","849.018935","10.0.1.6","10.0.0.4","TCP","54","56955  >  389 [ACK] Seq=351 Ack=2735 Win=524544 Len=0"
"70","849.020441","10.0.1.6","10.0.0.4","LDAP","1840","bindRequest(3) ""<ROOT>"" sasl "
"71","849.020958","10.0.0.4","10.0.1.6","TCP","54","389  >  56955 [ACK] Seq=2735 Ack=2137 Win=4197120 Len=0"
"72","849.021943","10.0.0.4","10.0.1.6","LDAP","265","bindResponse(3) success "
"73","849.044089","10.0.1.6","10.0.0.4","LDAP","277","SASL GSS-API Integrity: searchRequest(4) ""DC=dmevals,DC=local"" wholeSubtree "
"74","849.045339","10.0.0.4","10.0.1.6","LDAP","578","SASL GSS-API Integrity: searchResEntry(4) ""DC=dmevals,DC=local"" searchResEntry(4) ""OU=Workstations,DC=dmevals,DC=local"" searchResRef(4) searchResRef(4) searchResRef(4) searchResDone(4) success  [7 results]"
"75","849.046534","10.0.1.6","10.0.0.4","CLDAP","244","searchRequest(54) ""<ROOT>"" baseObject "
"76","849.047741","10.0.0.4","10.0.1.6","CLDAP","216","searchResEntry(54) ""<ROOT>"" searchResDone(54) success  [1 result]"
"77","849.094900","10.0.1.6","10.0.0.4","TCP","54","56955  >  389 [ACK] Seq=2360 Ack=3470 Win=523776 Len=0"
"78","849.095453","10.0.0.4","10.0.1.6","LDAP","578","[TCP Spurious Retransmission] SASL GSS-API Integrity: searchResEntry(4) ""DC=dmevals,DC=local"" searchResEntry(4) ""OU=Workstations,DC=dmevals,DC=local"" searchResRef(4) searchResRef(4) searchResRef(4) searchResDone(4) success  [7 results]"
"79","849.095476","10.0.1.6","10.0.0.4","TCP","66","[TCP Dup ACK 77#1] 56955  >  389 [ACK] Seq=2360 Ack=3470 Win=523776 Len=0 SLE=2946 SRE=3470"
"80","849.158053","10.0.1.6","10.0.0.4","TCP","66","56956  >  389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"81","849.158882","10.0.0.4","10.0.1.6","TCP","66","389  >  56956 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1418 WS=256 SACK_PERM=1"
"82","849.158927","10.0.1.6","10.0.0.4","TCP","54","56956  >  389 [ACK] Seq=1 Ack=1 Win=4197120 Len=0"
"83","849.161120","10.0.1.6","10.0.0.4","LDAP","1840","bindRequest(7) ""<ROOT>"" sasl "
"84","849.161833","10.0.0.4","10.0.1.6","TCP","54","389  >  56956 [ACK] Seq=1 Ack=1787 Win=4197120 Len=0"
"85","849.162364","10.0.0.4","10.0.1.6","LDAP","265","bindResponse(7) success "
"86","849.162658","10.0.1.6","10.0.0.4","LDAP","230","SASL GSS-API Integrity: searchRequest(8) ""<ROOT>"" baseObject "
"87","849.163374","10.0.0.4","10.0.1.6","LDAP","209","SASL GSS-API Integrity: searchResEntry(8) ""<ROOT>"" searchResDone(8) success  [2 results]"
"88","849.163479","10.0.1.6","10.0.0.4","LDAP","229","SASL GSS-API Integrity: searchRequest(9) ""CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=dmevals,DC=local"" baseObject "
"89","849.164119","10.0.0.4","10.0.1.6","LDAP","203","SASL GSS-API Integrity: searchResEntry(9) ""CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=dmevals,DC=local"" searchResDone(9) success  [2 results]"
"90","849.167259","10.0.1.6","10.0.0.4","LDAP","643","SASL GSS-API Integrity: searchRequest(10) ""cn=policies,cn=system,DC=dmevals,DC=local"" wholeSubtree "
"91","849.168451","10.0.0.4","10.0.1.6","LDAP","1129","SASL GSS-API Integrity: searchResEntry(10) ""CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=dmevals,DC=local"" searchResDone(10) success  [7 results]"
"92","849.189116","10.0.0.4","10.0.1.6","TCP","203","[TCP Retransmission] 389  >  56956 [PSH, ACK] Seq=367 Ack=2138 Win=4196864 Len=149"
"93","849.189143","10.0.1.6","10.0.0.4","TCP","66","56956  >  389 [ACK] Seq=2138 Ack=516 Win=4196608 Len=0 SLE=367 SRE=516"
"94","849.219952","10.0.1.6","10.0.0.4","TCP","54","56955  >  389 [ACK] Seq=2949 Ack=4545 Win=524544 Len=0"
"95","849.220429","10.0.0.4","10.0.1.6","LDAP","1129","[TCP Spurious Retransmission] SASL GSS-API Integrity: searchResEntry(10) ""CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=dmevals,DC=local"" searchResDone(10) success  [7 results]"
"96","849.220452","10.0.1.6","10.0.0.4","TCP","66","[TCP Dup ACK 94#1] 56955  >  389 [ACK] Seq=2949 Ack=4545 Win=524544 Len=0 SLE=3470 SRE=4545"
"97","849.466819","10.0.1.6","10.0.0.4","TCP","66","56957  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"98","849.467908","10.0.0.4","10.0.1.6","TCP","66","445  >  56957 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1418 WS=256 SACK_PERM=1"
"99","849.467975","10.0.1.6","10.0.0.4","TCP","54","56957  >  445 [ACK] Seq=1 Ack=1 Win=524544 Len=0"
"100","849.468033","10.0.1.6","10.0.0.4","SMB","127","Negotiate Protocol Request"
"101","849.469411","10.0.0.4","10.0.1.6","SMB2","306","Negotiate Protocol Response"
"102","849.469465","10.0.1.6","10.0.0.4","SMB2","308","Negotiate Protocol Request"
"103","849.470612","10.0.0.4","10.0.1.6","SMB2","366","Negotiate Protocol Response"
"104","849.471335","10.0.1.6","10.0.0.4","SMB2","3262","Session Setup Request"
"105","849.471787","10.0.0.4","10.0.1.6","TCP","54","445  >  56957 [ACK] Seq=565 Ack=3536 Win=4197120 Len=0"
"106","849.473312","10.0.0.4","10.0.1.6","SMB2","315","Session Setup Response"
"107","849.473626","10.0.1.6","10.0.0.4","SMB2","190","Tree Connect Request Tree: \\\\NEWYORK.dmevals.local\\sysvol"
"108","849.474263","10.0.0.4","10.0.1.6","SMB2","138","Tree Connect Response"
"109","849.474348","10.0.1.6","10.0.0.4","SMB2","178","Ioctl Request FSCTL_QUERY_NETWORK_INTERFACE_INFO"
"110","849.474395","10.0.1.6","10.0.0.4","SMB2","502","Create Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\gpt.ini"
"111","849.474844","10.0.0.4","10.0.1.6","TCP","54","445  >  56957 [ACK] Seq=910 Ack=4244 Win=4196352 Len=0"
"112","849.474845","10.0.0.4","10.0.1.6","SMB2","474","Ioctl Response FSCTL_QUERY_NETWORK_INTERFACE_INFO"
"113","849.474952","10.0.0.4","10.0.1.6","SMB2","410","Create Response File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\gpt.ini"
"114","849.474964","10.0.1.6","10.0.0.4","TCP","54","56957  >  445 [ACK] Seq=4244 Ack=1686 Win=524544 Len=0"
"115","849.475088","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\gpt.ini"
"116","849.475472","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"117","849.475579","10.0.1.6","10.0.0.4","SMB2","171","Read Request Len:22 Off:0 File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\gpt.ini"
"118","849.476046","10.0.0.4","10.0.1.6","SMB2","160","Read Response"
"119","849.477332","10.0.1.6","10.0.0.4","SMB2","446","Create Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine"
"120","849.478179","10.0.0.4","10.0.1.6","SMB2","378","Create Response File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine"
"121","849.478286","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine"
"122","849.478821","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"123","849.478901","10.0.1.6","10.0.0.4","SMB2","260","Find Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *;Find Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *"
"124","849.480155","10.0.0.4","10.0.1.6","SMB2","554","Find Response;Find Response, Error: STATUS_NO_MORE_FILES"
"125","849.480482","10.0.1.6","10.0.0.4","SMB2","462","Create Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft"
"126","849.481940","10.0.0.4","10.0.1.6","SMB2","378","Create Response File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft"
"127","849.482045","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft"
"128","849.483723","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"129","849.483791","10.0.1.6","10.0.0.4","SMB2","260","Find Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *;Find Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *"
"130","849.484675","10.0.0.4","10.0.1.6","SMB2","554","Find Response;Find Response, Error: STATUS_NO_MORE_FILES"
"131","849.484984","10.0.1.6","10.0.0.4","SMB2","486","Create Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT"
"132","849.485752","10.0.0.4","10.0.1.6","SMB2","378","Create Response File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT"
"133","849.485882","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT"
"134","849.486281","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"135","849.486377","10.0.1.6","10.0.0.4","SMB2","260","Find Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *;Find Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *"
"136","849.487166","10.0.0.4","10.0.1.6","SMB2","546","Find Response;Find Response, Error: STATUS_NO_MORE_FILES"
"137","849.487545","10.0.1.6","10.0.0.4","SMB2","502","Create Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit"
"138","849.488103","10.0.0.4","10.0.1.6","SMB2","378","Create Response File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit"
"139","849.488201","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit"
"140","849.488576","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"141","849.488651","10.0.1.6","10.0.0.4","SMB2","260","Find Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *;Find Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *"
"142","849.489018","10.0.0.4","10.0.1.6","SMB2","554","Find Response;Find Response, Error: STATUS_NO_MORE_FILES"
"143","849.489202","10.0.1.6","10.0.0.4","SMB2","582","Create Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"144","849.490255","10.0.0.4","10.0.1.6","SMB2","410","Create Response File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"145","849.490359","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"146","849.490847","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"147","849.490936","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"148","849.491260","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"149","849.491345","10.0.1.6","10.0.0.4","SMB2","370","GetInfo Request FILE_INFO/SMB2_FILE_EA_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf;GetInfo Request FILE_INFO/SMB2_FILE_STREAM_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf;GetInfo Request SEC_INFO/SMB2_SEC_INFO_00 File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"150","849.491804","10.0.0.4","10.0.1.6","SMB2","346","GetInfo Response;GetInfo Response;GetInfo Response"
"151","849.491913","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"152","849.492377","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"153","849.492438","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"154","849.492997","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"155","849.493065","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_STREAM_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"156","849.494486","10.0.0.4","10.0.1.6","SMB2","168","GetInfo Response"
"157","849.494546","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"158","849.495047","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"159","849.495108","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_EA_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"160","849.495757","10.0.0.4","10.0.1.6","SMB2","134","GetInfo Response"
"161","849.501008","10.0.1.6","10.0.0.4","SMB2","275","GetInfo Request FS_INFO/FileFsVolumeInformation File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf;GetInfo Request FS_INFO/FileFsAttributeInformation File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"162","849.502006","10.0.0.4","10.0.1.6","SMB2","250","GetInfo Response;GetInfo Response"
"163","849.503390","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request SEC_INFO/SMB2_SEC_INFO_00 File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"164","849.504272","10.0.0.4","10.0.1.6","SMB2","150","GetInfo Response"
"165","849.504466","10.0.1.6","10.0.0.4","SMB2","171","Read Request Len:1098 Off:0 File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"166","849.505370","10.0.0.4","10.0.1.6","SMB2","1236","Read Response"
"167","849.505565","10.0.1.6","10.0.0.4","SMB2","146","Close Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\Machine\\Microsoft\\Windows NT\\SecEdit\\GptTmpl.inf"
"168","849.506504","10.0.0.4","10.0.1.6","SMB2","182","Close Response"
"169","849.506749","10.0.1.6","10.0.0.4","SMB2","478","Create Request File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\gpt.ini"
"170","849.507455","10.0.0.4","10.0.1.6","SMB2","354","Create Response File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\gpt.ini"
"171","849.507551","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\gpt.ini"
"172","849.508271","10.0.0.4","10.0.1.6","SMB2","186","GetInfo Response"
"173","849.508340","10.0.1.6","10.0.0.4","SMB2","162","GetInfo Request FILE_INFO/SMB2_FILE_NETWORK_OPEN_INFO File: dmevals.local\\Policies\\{31B2F340-016D-11D2-945F-00C04FB984F9}\\gpt.ini"
